Points:0,Points:1,Row ID
407420,-2.2475e+06,0
407560,-2.2475e+06,1
407690,-2.2475e+06,2
407840,-2.2476e+06,3
407900,-2.2476e+06,4
407970,-2.2476e+06,5
409460,-2.248e+06,6
409540,-2.2481e+06,7
409630,-2.2481e+06,8
409730,-2.2481e+06,9
409850,-2.2482e+06,10
409980,-2.2482e+06,11
410080,-2.2482e+06,12
410210,-2.2483e+06,13
410350,-2.2483e+06,14
410410,-2.2483e+06,15
410470,-2.2483e+06,16
410530,-2.2484e+06,17
411540,-2.2487e+06,18
411660,-2.2487e+06,19
411710,-2.2487e+06,20
411750,-2.2487e+06,21
413910,-2.2494e+06,22
416060,-2.2501e+06,23
418060,-2.2507e+06,24
420210,-2.2515e+06,25
422570,-2.2523e+06,26
425140,-2.2533e+06,27
425660,-2.2535e+06,28
425870,-2.2536e+06,29
426130,-2.2537e+06,30
426190,-2.2537e+06,31
426240,-2.2537e+06,32
428920,-2.2548e+06,33
429050,-2.2549e+06,34
429190,-2.255e+06,35
429330,-2.255e+06,36
429550,-2.2551e+06,37
429720,-2.2552e+06,38
429870,-2.2552e+06,39
430070,-2.2553e+06,40
430290,-2.2554e+06,41
430390,-2.2555e+06,42
430440,-2.2555e+06,43
430500,-2.2555e+06,44
430570,-2.2555e+06,45
430630,-2.2556e+06,46
430690,-2.2556e+06,47
430750,-2.2556e+06,48
430820,-2.2557e+06,49
430880,-2.2557e+06,50
430940,-2.2557e+06,51
431000,-2.2557e+06,52
431060,-2.2558e+06,53
431130,-2.2558e+06,54
431190,-2.2558e+06,55
431250,-2.2558e+06,56
431310,-2.2559e+06,57
431370,-2.2559e+06,58
431440,-2.2559e+06,59
431500,-2.256e+06,60
431560,-2.256e+06,61
431620,-2.256e+06,62
431690,-2.256e+06,63
431750,-2.2561e+06,64
431810,-2.2561e+06,65
431880,-2.2561e+06,66
431940,-2.2561e+06,67
432000,-2.2562e+06,68
432070,-2.2562e+06,69
432130,-2.2562e+06,70
432200,-2.2563e+06,71
432260,-2.2563e+06,72
432320,-2.2563e+06,73
432390,-2.2563e+06,74
432450,-2.2564e+06,75
432510,-2.2564e+06,76
432580,-2.2564e+06,77
432640,-2.2565e+06,78
432700,-2.2565e+06,79
432770,-2.2565e+06,80
432830,-2.2565e+06,81
432900,-2.2566e+06,82
432960,-2.2566e+06,83
433020,-2.2566e+06,84
433090,-2.2567e+06,85
433150,-2.2567e+06,86
433210,-2.2567e+06,87
433280,-2.2567e+06,88
436370,-2.2581e+06,89
436520,-2.2582e+06,90
436700,-2.2583e+06,91
436910,-2.2584e+06,92
439470,-2.2595e+06,93
439600,-2.2596e+06,94
439670,-2.2596e+06,95
439710,-2.2597e+06,96
439770,-2.2597e+06,97
439820,-2.2597e+06,98
439870,-2.2597e+06,99
439920,-2.2598e+06,100
439970,-2.2598e+06,101
440020,-2.2598e+06,102
440080,-2.2598e+06,103
440130,-2.2599e+06,104
440180,-2.2599e+06,105
440230,-2.2599e+06,106
440280,-2.2599e+06,107
440330,-2.26e+06,108
440390,-2.26e+06,109
440440,-2.26e+06,110
440490,-2.26e+06,111
440540,-2.2601e+06,112
440590,-2.2601e+06,113
440640,-2.2601e+06,114
440700,-2.2601e+06,115
440750,-2.2602e+06,116
440800,-2.2602e+06,117
440850,-2.2602e+06,118
440900,-2.2602e+06,119
440950,-2.2603e+06,120
441000,-2.2603e+06,121
441060,-2.2603e+06,122
441110,-2.2603e+06,123
442600,-2.2611e+06,124
442710,-2.2611e+06,125
442760,-2.2611e+06,126
442820,-2.2612e+06,127
442880,-2.2612e+06,128
442940,-2.2612e+06,129
443000,-2.2613e+06,130
