Points:0,Points:1,Row ID
-236030,-1.8066e+06,0
-236220,-1.8066e+06,1
-236390,-1.8067e+06,2
-236530,-1.8067e+06,3
-236680,-1.8067e+06,4
-236840,-1.8067e+06,5
-237030,-1.8068e+06,6
-237250,-1.8068e+06,7
-237340,-1.8068e+06,8
-237430,-1.8068e+06,9
-237520,-1.8069e+06,10
-237610,-1.8069e+06,11
-237690,-1.8069e+06,12
-237780,-1.8069e+06,13
-237870,-1.8069e+06,14
-237960,-1.8069e+06,15
-238050,-1.8069e+06,16
-238140,-1.807e+06,17
-238220,-1.807e+06,18
-238310,-1.807e+06,19
-238400,-1.807e+06,20
-238490,-1.807e+06,21
-238580,-1.807e+06,22
-238660,-1.807e+06,23
-238750,-1.8071e+06,24
-238840,-1.8071e+06,25
-238930,-1.8071e+06,26
-239020,-1.8071e+06,27
-239100,-1.8071e+06,28
-239190,-1.8071e+06,29
-239280,-1.8071e+06,30
-239370,-1.8072e+06,31
-239460,-1.8072e+06,32
-239540,-1.8072e+06,33
-239650,-1.8072e+06,34
-239750,-1.8072e+06,35
-239850,-1.8072e+06,36
-239960,-1.8073e+06,37
-240060,-1.8073e+06,38
-240160,-1.8073e+06,39
-240260,-1.8073e+06,40
-240370,-1.8073e+06,41
-240470,-1.8074e+06,42
-240570,-1.8074e+06,43
-240680,-1.8074e+06,44
-240780,-1.8074e+06,45
-240880,-1.8074e+06,46
-240980,-1.8075e+06,47
-241090,-1.8075e+06,48
-241190,-1.8075e+06,49
-241290,-1.8075e+06,50
-241390,-1.8075e+06,51
-241500,-1.8076e+06,52
-241600,-1.8076e+06,53
-241700,-1.8076e+06,54
-241800,-1.8076e+06,55
-241910,-1.8076e+06,56
-242010,-1.8077e+06,57
-242110,-1.8077e+06,58
-242210,-1.8077e+06,59
-242320,-1.8077e+06,60
-242420,-1.8077e+06,61
-242520,-1.8078e+06,62
-242620,-1.8078e+06,63
-242720,-1.8078e+06,64
-242830,-1.8078e+06,65
-242930,-1.8078e+06,66
-243030,-1.8079e+06,67
-243130,-1.8079e+06,68
-243240,-1.8079e+06,69
-243340,-1.8079e+06,70
-243440,-1.808e+06,71
-243540,-1.808e+06,72
-243640,-1.808e+06,73
-243750,-1.808e+06,74
-243850,-1.808e+06,75
-243950,-1.8081e+06,76
-244050,-1.8081e+06,77
-244150,-1.8081e+06,78
-244260,-1.8081e+06,79
-244360,-1.8082e+06,80
-244460,-1.8082e+06,81
-244560,-1.8082e+06,82
-244660,-1.8082e+06,83
-244760,-1.8083e+06,84
-244870,-1.8083e+06,85
-244970,-1.8083e+06,86
-245070,-1.8083e+06,87
-245170,-1.8084e+06,88
-245270,-1.8084e+06,89
-245370,-1.8084e+06,90
-245480,-1.8084e+06,91
-245580,-1.8085e+06,92
-245680,-1.8085e+06,93
-245780,-1.8085e+06,94
-245880,-1.8085e+06,95
-245980,-1.8086e+06,96
-246080,-1.8086e+06,97
-246190,-1.8086e+06,98
-246290,-1.8086e+06,99
-246390,-1.8087e+06,100
-246490,-1.8087e+06,101
-246590,-1.8087e+06,102
-246690,-1.8087e+06,103
-246790,-1.8088e+06,104
-246890,-1.8088e+06,105
-247000,-1.8088e+06,106
-247100,-1.8088e+06,107
-247200,-1.8089e+06,108
-247300,-1.8089e+06,109
-247400,-1.8089e+06,110
-247540,-1.809e+06,111
-247620,-1.809e+06,112
-247700,-1.809e+06,113
-247780,-1.809e+06,114
-247870,-1.809e+06,115
-247950,-1.8091e+06,116
-248040,-1.8091e+06,117
-248120,-1.8091e+06,118
-248200,-1.8091e+06,119
-248290,-1.8092e+06,120
-248370,-1.8092e+06,121
-248460,-1.8092e+06,122
-248540,-1.8092e+06,123
-248630,-1.8093e+06,124
-248710,-1.8093e+06,125
-248800,-1.8093e+06,126
-248880,-1.8093e+06,127
-248960,-1.8094e+06,128
-249050,-1.8094e+06,129
-249130,-1.8094e+06,130
-249220,-1.8094e+06,131
-249300,-1.8095e+06,132
-249390,-1.8095e+06,133
-249470,-1.8095e+06,134
-249550,-1.8095e+06,135
-249640,-1.8096e+06,136
-249720,-1.8096e+06,137
-249810,-1.8096e+06,138
-249890,-1.8096e+06,139
-249980,-1.8097e+06,140
-250060,-1.8097e+06,141
-250140,-1.8097e+06,142
-250230,-1.8097e+06,143
-250310,-1.8098e+06,144
-250400,-1.8098e+06,145
-250480,-1.8098e+06,146
-250560,-1.8098e+06,147
-250650,-1.8099e+06,148
-250730,-1.8099e+06,149
-250810,-1.8099e+06,150
-250900,-1.8099e+06,151
-250980,-1.81e+06,152
-251070,-1.81e+06,153
-251150,-1.81e+06,154
-251230,-1.81e+06,155
-251320,-1.8101e+06,156
-251400,-1.8101e+06,157
-251480,-1.8101e+06,158
-251570,-1.8102e+06,159
-251650,-1.8102e+06,160
-251730,-1.8102e+06,161
-251820,-1.8102e+06,162
-251900,-1.8103e+06,163
-251980,-1.8103e+06,164
-252070,-1.8103e+06,165
-252150,-1.8103e+06,166
-252230,-1.8104e+06,167
-252320,-1.8104e+06,168
-252400,-1.8104e+06,169
-252480,-1.8105e+06,170
-252570,-1.8105e+06,171
-252650,-1.8105e+06,172
-252730,-1.8105e+06,173
-252820,-1.8106e+06,174
-252900,-1.8106e+06,175
-252980,-1.8106e+06,176
-253070,-1.8107e+06,177
-253150,-1.8107e+06,178
-253230,-1.8107e+06,179
-253320,-1.8107e+06,180
-253400,-1.8108e+06,181
-253480,-1.8108e+06,182
-253560,-1.8108e+06,183
-253650,-1.8109e+06,184
-253730,-1.8109e+06,185
-253810,-1.8109e+06,186
-253900,-1.8109e+06,187
-253980,-1.811e+06,188
-254060,-1.811e+06,189
-254140,-1.811e+06,190
-254230,-1.8111e+06,191
-254310,-1.8111e+06,192
-254380,-1.8111e+06,193
-254510,-1.8112e+06,194
-254580,-1.8112e+06,195
-254660,-1.8112e+06,196
-254750,-1.8113e+06,197
-254810,-1.8113e+06,198
-254880,-1.8113e+06,199
-254950,-1.8113e+06,200
-255010,-1.8114e+06,201
-255080,-1.8114e+06,202
-255140,-1.8114e+06,203
-255210,-1.8114e+06,204
-255280,-1.8115e+06,205
-255340,-1.8115e+06,206
-255410,-1.8115e+06,207
-255470,-1.8115e+06,208
-255540,-1.8116e+06,209
-255610,-1.8116e+06,210
-255670,-1.8116e+06,211
-255740,-1.8116e+06,212
-255800,-1.8117e+06,213
-255870,-1.8117e+06,214
-255930,-1.8117e+06,215
-256000,-1.8117e+06,216
-256070,-1.8118e+06,217
-256130,-1.8118e+06,218
-256200,-1.8118e+06,219
-256260,-1.8118e+06,220
-256330,-1.8119e+06,221
-256400,-1.8119e+06,222
-256460,-1.8119e+06,223
-256530,-1.8119e+06,224
-256590,-1.812e+06,225
-256660,-1.812e+06,226
-256720,-1.812e+06,227
-256790,-1.812e+06,228
-256860,-1.8121e+06,229
-256920,-1.8121e+06,230
-256990,-1.8121e+06,231
-257050,-1.8121e+06,232
-257120,-1.8122e+06,233
-257180,-1.8122e+06,234
-257250,-1.8122e+06,235
-257320,-1.8122e+06,236
-257380,-1.8123e+06,237
-257450,-1.8123e+06,238
-257510,-1.8123e+06,239
-257580,-1.8124e+06,240
-257640,-1.8124e+06,241
-257710,-1.8124e+06,242
-257770,-1.8124e+06,243
-257840,-1.8125e+06,244
-257910,-1.8125e+06,245
-257970,-1.8125e+06,246
-258040,-1.8125e+06,247
-258100,-1.8126e+06,248
-258170,-1.8126e+06,249
-258230,-1.8126e+06,250
-258300,-1.8126e+06,251
-258360,-1.8127e+06,252
-258430,-1.8127e+06,253
-258500,-1.8127e+06,254
-258560,-1.8127e+06,255
-258630,-1.8128e+06,256
-258690,-1.8128e+06,257
-258760,-1.8128e+06,258
-258820,-1.8129e+06,259
-258890,-1.8129e+06,260
-258950,-1.8129e+06,261
-259020,-1.8129e+06,262
-259080,-1.813e+06,263
-259150,-1.813e+06,264
-259220,-1.813e+06,265
-259280,-1.813e+06,266
-259350,-1.8131e+06,267
-259410,-1.8131e+06,268
-259480,-1.8131e+06,269
-259540,-1.8131e+06,270
-259610,-1.8132e+06,271
-259670,-1.8132e+06,272
-259740,-1.8132e+06,273
-259800,-1.8133e+06,274
-259870,-1.8133e+06,275
-259930,-1.8133e+06,276
-260000,-1.8133e+06,277
-260060,-1.8134e+06,278
-260130,-1.8134e+06,279
-260200,-1.8134e+06,280
-260260,-1.8134e+06,281
-260320,-1.8135e+06,282
-260380,-1.8135e+06,283
-260430,-1.8135e+06,284
-260480,-1.8135e+06,285
-260530,-1.8136e+06,286
-260580,-1.8136e+06,287
-260630,-1.8136e+06,288
-260680,-1.8136e+06,289
-260740,-1.8136e+06,290
-260790,-1.8137e+06,291
-260840,-1.8137e+06,292
-260890,-1.8137e+06,293
-260940,-1.8137e+06,294
-260990,-1.8137e+06,295
-261040,-1.8138e+06,296
-261090,-1.8138e+06,297
-261140,-1.8138e+06,298
-261190,-1.8138e+06,299
-261240,-1.8138e+06,300
-261290,-1.8139e+06,301
-261340,-1.8139e+06,302
-261400,-1.8139e+06,303
-261450,-1.8139e+06,304
-261500,-1.8139e+06,305
-261550,-1.814e+06,306
-261600,-1.814e+06,307
-261650,-1.814e+06,308
-261700,-1.814e+06,309
-261750,-1.814e+06,310
-261800,-1.8141e+06,311
-261850,-1.8141e+06,312
-261910,-1.8141e+06,313
-261960,-1.8141e+06,314
-262010,-1.8141e+06,315
-262060,-1.8142e+06,316
-262110,-1.8142e+06,317
-262160,-1.8142e+06,318
-262210,-1.8142e+06,319
-262260,-1.8142e+06,320
-262310,-1.8142e+06,321
-262360,-1.8143e+06,322
-262420,-1.8143e+06,323
-262470,-1.8143e+06,324
-262520,-1.8143e+06,325
-262570,-1.8143e+06,326
-262620,-1.8144e+06,327
-262670,-1.8144e+06,328
-262720,-1.8144e+06,329
-262770,-1.8144e+06,330
-262830,-1.8144e+06,331
-262880,-1.8145e+06,332
-262930,-1.8145e+06,333
-262980,-1.8145e+06,334
-263030,-1.8145e+06,335
-263080,-1.8145e+06,336
-263130,-1.8146e+06,337
-263180,-1.8146e+06,338
-263240,-1.8146e+06,339
-263290,-1.8146e+06,340
-263340,-1.8146e+06,341
-263390,-1.8146e+06,342
-263440,-1.8147e+06,343
-263490,-1.8147e+06,344
-263540,-1.8147e+06,345
-263600,-1.8147e+06,346
-263650,-1.8147e+06,347
-263700,-1.8148e+06,348
-263750,-1.8148e+06,349
-263800,-1.8148e+06,350
-263850,-1.8148e+06,351
-263900,-1.8148e+06,352
-263960,-1.8149e+06,353
-264770,-1.8151e+06,354
-264860,-1.8152e+06,355
-264950,-1.8152e+06,356
-265000,-1.8152e+06,357
-265040,-1.8152e+06,358
-265090,-1.8152e+06,359
-265130,-1.8153e+06,360
-265960,-1.8155e+06,361
-266080,-1.8155e+06,362
-266220,-1.8156e+06,363
-266350,-1.8156e+06,364
-266390,-1.8156e+06,365
-266430,-1.8156e+06,366
-267410,-1.8159e+06,367
-267590,-1.8159e+06,368
-267720,-1.816e+06,369
-267940,-1.816e+06,370
-268110,-1.8161e+06,371
-268140,-1.8161e+06,372
-268180,-1.8161e+06,373
-269170,-1.8163e+06,374
-269220,-1.8163e+06,375
-269250,-1.8163e+06,376
-269270,-1.8163e+06,377
-269300,-1.8163e+06,378
-269330,-1.8163e+06,379
-269360,-1.8163e+06,380
-269390,-1.8163e+06,381
-269420,-1.8163e+06,382
-269450,-1.8164e+06,383
-269480,-1.8164e+06,384
-269510,-1.8164e+06,385
-269540,-1.8164e+06,386
-269570,-1.8164e+06,387
-269600,-1.8164e+06,388
-269630,-1.8164e+06,389
-269660,-1.8164e+06,390
-269690,-1.8164e+06,391
-269720,-1.8164e+06,392
-269750,-1.8164e+06,393
-269780,-1.8164e+06,394
-269810,-1.8164e+06,395
-269840,-1.8164e+06,396
-269870,-1.8164e+06,397
-269900,-1.8164e+06,398
-269930,-1.8164e+06,399
-269960,-1.8164e+06,400
-269990,-1.8164e+06,401
-270020,-1.8165e+06,402
-270050,-1.8165e+06,403
-270080,-1.8165e+06,404
-270110,-1.8165e+06,405
-270140,-1.8165e+06,406
-270170,-1.8165e+06,407
-270200,-1.8165e+06,408
-270230,-1.8165e+06,409
-270260,-1.8165e+06,410
-270280,-1.8165e+06,411
-270310,-1.8165e+06,412
-270340,-1.8165e+06,413
-270370,-1.8165e+06,414
-270400,-1.8165e+06,415
-270430,-1.8165e+06,416
-270460,-1.8165e+06,417
-270490,-1.8165e+06,418
-270520,-1.8165e+06,419
-270550,-1.8165e+06,420
