Points:0,Points:1,Row ID
429140,-1.1465e+06,0
429570,-1.1454e+06,1
429610,-1.1453e+06,2
429650,-1.1452e+06,3
429690,-1.1451e+06,4
429780,-1.1449e+06,5
429830,-1.1448e+06,6
429890,-1.1446e+06,7
429910,-1.1446e+06,8
429940,-1.1445e+06,9
430030,-1.1443e+06,10
430160,-1.144e+06,11
430280,-1.1438e+06,12
430340,-1.1437e+06,13
430400,-1.1435e+06,14
431100,-1.1422e+06,15
431200,-1.142e+06,16
431220,-1.142e+06,17
431250,-1.1419e+06,18
431270,-1.1419e+06,19
431300,-1.1418e+06,20
431330,-1.1418e+06,21
431350,-1.1417e+06,22
431380,-1.1417e+06,23
431410,-1.1416e+06,24
431430,-1.1416e+06,25
431460,-1.1416e+06,26
431490,-1.1415e+06,27
431510,-1.1415e+06,28
431540,-1.1414e+06,29
431570,-1.1414e+06,30
431600,-1.1413e+06,31
431620,-1.1413e+06,32
431650,-1.1412e+06,33
431680,-1.1412e+06,34
431710,-1.1411e+06,35
431730,-1.1411e+06,36
431760,-1.141e+06,37
431790,-1.141e+06,38
431820,-1.141e+06,39
431850,-1.1409e+06,40
431870,-1.1409e+06,41
431900,-1.1408e+06,42
431930,-1.1408e+06,43
431960,-1.1407e+06,44
431990,-1.1407e+06,45
432110,-1.1405e+06,46
432310,-1.1402e+06,47
432370,-1.1401e+06,48
432420,-1.14e+06,49
433040,-1.1391e+06,50
433690,-1.1382e+06,51
433770,-1.1381e+06,52
433840,-1.138e+06,53
433870,-1.138e+06,54
433900,-1.138e+06,55
433930,-1.1379e+06,56
433960,-1.1379e+06,57
433990,-1.1379e+06,58
434020,-1.1378e+06,59
434050,-1.1378e+06,60
434080,-1.1377e+06,61
434110,-1.1377e+06,62
434140,-1.1377e+06,63
434170,-1.1376e+06,64
434200,-1.1376e+06,65
434230,-1.1376e+06,66
434260,-1.1375e+06,67
434290,-1.1375e+06,68
434330,-1.1374e+06,69
434360,-1.1374e+06,70
434390,-1.1374e+06,71
434420,-1.1373e+06,72
434450,-1.1373e+06,73
434480,-1.1373e+06,74
434510,-1.1372e+06,75
434540,-1.1372e+06,76
434580,-1.1372e+06,77
434610,-1.1371e+06,78
434640,-1.1371e+06,79
434670,-1.137e+06,80
434700,-1.137e+06,81
434730,-1.137e+06,82
434770,-1.1369e+06,83
434800,-1.1369e+06,84
434830,-1.1369e+06,85
434860,-1.1368e+06,86
434890,-1.1368e+06,87
435640,-1.136e+06,88
435720,-1.1359e+06,89
435790,-1.1358e+06,90
435880,-1.1358e+06,91
435910,-1.1357e+06,92
435940,-1.1357e+06,93
435970,-1.1357e+06,94
436010,-1.1356e+06,95
436040,-1.1356e+06,96
436070,-1.1356e+06,97
436110,-1.1355e+06,98
436140,-1.1355e+06,99
436170,-1.1355e+06,100
436210,-1.1354e+06,101
436240,-1.1354e+06,102
436270,-1.1354e+06,103
436310,-1.1353e+06,104
436340,-1.1353e+06,105
436380,-1.1353e+06,106
436410,-1.1352e+06,107
436440,-1.1352e+06,108
436480,-1.1352e+06,109
436510,-1.1351e+06,110
436540,-1.1351e+06,111
436580,-1.1351e+06,112
436610,-1.135e+06,113
436650,-1.135e+06,114
436680,-1.135e+06,115
436710,-1.1349e+06,116
436750,-1.1349e+06,117
436780,-1.1349e+06,118
436820,-1.1349e+06,119
436850,-1.1348e+06,120
436890,-1.1348e+06,121
436920,-1.1348e+06,122
436950,-1.1347e+06,123
436990,-1.1347e+06,124
437020,-1.1347e+06,125
437060,-1.1346e+06,126
437170,-1.1345e+06,127
437240,-1.1345e+06,128
437300,-1.1344e+06,129
437360,-1.1344e+06,130
437420,-1.1343e+06,131
437490,-1.1342e+06,132
437600,-1.1342e+06,133
437670,-1.1341e+06,134
437760,-1.134e+06,135
437860,-1.1339e+06,136
437970,-1.1338e+06,137
438010,-1.1338e+06,138
439930,-1.1321e+06,139
439980,-1.1321e+06,140
440030,-1.1321e+06,141
440060,-1.132e+06,142
440100,-1.132e+06,143
440140,-1.132e+06,144
440180,-1.1319e+06,145
440220,-1.1319e+06,146
440260,-1.1319e+06,147
440300,-1.1318e+06,148
440340,-1.1318e+06,149
440380,-1.1318e+06,150
440420,-1.1317e+06,151
440450,-1.1317e+06,152
440490,-1.1317e+06,153
440530,-1.1316e+06,154
440570,-1.1316e+06,155
440610,-1.1316e+06,156
440650,-1.1315e+06,157
440690,-1.1315e+06,158
440730,-1.1315e+06,159
440770,-1.1314e+06,160
440810,-1.1314e+06,161
440850,-1.1314e+06,162
440890,-1.1313e+06,163
440930,-1.1313e+06,164
440960,-1.1313e+06,165
441000,-1.1312e+06,166
441040,-1.1312e+06,167
441080,-1.1312e+06,168
441120,-1.1311e+06,169
441160,-1.1311e+06,170
441200,-1.1311e+06,171
441240,-1.131e+06,172
441280,-1.131e+06,173
441320,-1.131e+06,174
441360,-1.131e+06,175
441410,-1.1309e+06,176
441450,-1.1309e+06,177
441500,-1.1308e+06,178
441550,-1.1308e+06,179
441600,-1.1308e+06,180
441640,-1.1307e+06,181
441690,-1.1307e+06,182
441740,-1.1306e+06,183
441790,-1.1306e+06,184
441830,-1.1306e+06,185
441880,-1.1305e+06,186
441930,-1.1305e+06,187
441980,-1.1305e+06,188
442020,-1.1304e+06,189
442070,-1.1304e+06,190
442120,-1.1303e+06,191
442170,-1.1303e+06,192
442210,-1.1303e+06,193
442260,-1.1302e+06,194
442310,-1.1302e+06,195
